normalizing_factor,h_b,v,beta,avg_number_of_bumps,avg_total_active_neurons,avg_bump_width,avg_largest_bump_width,avg_zero_bump_timestep_percentage
0.495,0.14999999999999997,0.5,400,0.9297297297297298,29.492216216216217,31.72127906976744,28.624864864864865,14.605405405405405
0.495,0.14499999999999996,0.5,400,0.9291891891891891,29.81427027027027,32.08632926119837,28.893945945945944,14.702702702702704
0.495,0.13999999999999996,0.5,400,0.9244324324324324,30.288324324324325,32.76423810080692,29.45535135135135,14.605405405405405
0.495,0.13499999999999995,0.5,400,0.9042162162162162,30.944756756756757,34.222740315638454,30.51783783783784,14.345945945945946
0.495,0.12999999999999995,0.5,400,0.9225945945945946,31.605513513513515,34.25720646824467,31.089945945945946,13.913513513513514
0.495,0.12499999999999994,0.5,400,0.9262702702702703,32.059783783783786,34.61169467787115,31.479567567567567,13.448648648648648
0.495,0.11999999999999994,0.5,400,0.943027027027027,32.504756756756755,34.46853146853147,31.782162162162162,13.221621621621622
0.495,0.11499999999999994,0.5,400,0.9829189189189189,33.42410810810811,34.00494940607127,32.5812972972973,9.47027027027027
0.495,0.10999999999999993,0.5,400,0.9987027027027027,34.14627027027027,34.19062567655337,33.252,7.405405405405405
0.495,0.10499999999999993,0.5,400,1.0002162162162163,34.56227027027027,34.55479896238651,33.59945945945946,7.286486486486487
0.495,0.09999999999999992,0.5,400,1.0022702702702704,35.02054054054054,34.941214539963326,34.06335135135135,6.8432432432432435
0.495,0.09499999999999992,0.5,400,0.9997837837837837,35.57091891891892,35.5786115916955,34.70259459459459,6.486486486486487
0.495,0.08999999999999991,0.5,400,1.0021621621621621,36.25221621621622,36.174002157497306,35.43589189189189,6.108108108108108
0.495,0.08499999999999991,0.5,400,1.0031351351351352,37.11351351351351,36.997521284621186,36.500324324324325,5.243243243243243
0.495,0.0799999999999999,0.5,400,1.019891891891892,38.157405405405406,37.41318634725461,37.72054054054054,3.0054054054054054
0.495,0.0749999999999999,0.5,400,1.047027027027027,39.23005405405405,37.468043366029946,38.69513513513513,0.7351351351351352
0.495,0.0699999999999999,0.5,400,1.0477837837837838,39.942054054054054,38.12051176227817,39.33124324324324,0.7351351351351352
0.495,0.06499999999999989,0.5,400,1.0551351351351352,40.642162162162165,38.51844262295082,39.93783783783784,0.4864864864864865
0.495,0.05999999999999989,0.5,400,1.0376216216216216,41.49372972972973,39.9892685976245,41.05945945945946,0.31351351351351353
0.495,0.05499999999999988,0.5,400,1.0277837837837838,42.16389189189189,41.02408751446303,41.874810810810814,0.22702702702702704
0.495,0.04999999999999988,0.5,400,1.0184864864864864,42.90994594594594,42.131090117821884,42.843783783783785,0.14054054054054055
0.495,0.04499999999999987,0.5,400,1.016,43.60335135135135,42.91668440093637,43.57945945945946,0.043243243243243246
0.495,0.03999999999999987,0.5,400,1.0132972972972973,44.33578378378378,43.75397418115865,44.319675675675676,0.010810810810810811
0.495,0.034999999999999865,0.5,400,1.0122162162162163,45.087135135135135,44.542988358432126,45.074486486486485,0.0
0.495,0.02999999999999986,0.5,400,1.0122162162162163,45.77416216216216,45.22172380647228,45.7612972972973,0.0
0.495,0.024999999999999856,0.5,400,1.0114594594594595,46.35881081081081,45.833582727661394,46.347027027027025,0.0
0.495,0.01999999999999985,0.5,400,1.011027027027027,47.054054054054056,46.540846877673225,47.042702702702705,0.0
0.495,0.014999999999999847,0.5,400,1.0122162162162163,47.93394594594594,47.35544163195557,47.92064864864865,0.0
0.495,0.009999999999999842,0.5,400,1.0100540540540541,48.52908108108108,48.04602376110457,48.518594594594596,0.0
0.495,0.004999999999999838,0.5,400,1.0107027027027027,49.06897297297297,48.54936356829607,49.057405405405405,0.0
0.49,0.2,0.5,400,0.8507027027027027,24.905729729729728,29.276655229381117,24.266378378378377,21.686486486486487
0.49,0.195,0.5,400,0.8563243243243244,25.201621621621623,29.42999621259942,24.485297297297297,21.664864864864864
0.49,0.19,0.5,400,0.8718918918918919,25.529945945945947,29.281091134531927,24.66518918918919,21.427027027027027
0.49,0.185,0.5,400,0.8722162162162163,25.916324324324325,29.71318790282598,25.046054054054053,21.17837837837838
0.49,0.18,0.5,400,0.8675675675675676,26.313405405405405,30.330093457943924,25.495783783783782,21.07027027027027
0.49,0.175,0.5,400,0.8682162162162163,26.92043243243243,31.006599427219523,26.272,20.205405405405404
0.49,0.16999999999999998,0.5,400,0.9046486486486487,27.832216216216217,30.765774378585085,27.240972972972973,16.25945945945946
0.49,0.16499999999999998,0.5,400,0.9135135135135135,28.297081081081082,30.97609467455621,27.658270270270272,15.416216216216217
0.49,0.15999999999999998,0.5,400,0.9218378378378378,28.710594594594596,31.144951331066025,27.99783783783784,14.864864864864865
0.49,0.15499999999999997,0.5,400,0.9246486486486486,29.02756756756757,31.393078452005145,28.24908108108108,14.78918918918919
