normalizing_factor,h_b,v,beta,avg_number_of_bumps,avg_total_active_neurons,avg_bump_width,avg_largest_bump_width,avg_zero_bump_timestep_percentage
0.5,0.07999999999999963,0.5,400,1.0585945945945945,38.97167567567568,36.814542483660134,37.82064864864865,2.637837837837838
0.5,0.07499999999999962,0.5,400,1.062918918918919,39.960432432432434,37.59499593165175,39.04551351351351,0.8972972972972973
0.5,0.06999999999999962,0.5,400,1.053837837837838,40.694162162162165,38.615203118588425,39.888864864864864,0.7135135135135136
0.5,0.06499999999999961,0.5,400,1.0545945945945947,41.25989189189189,39.12393644284982,40.442594594594595,0.518918918918919
0.5,0.05999999999999961,0.5,400,1.0435675675675675,41.901405405405406,40.152077074484616,41.279783783783785,0.44324324324324327
0.5,0.054999999999999605,0.5,400,1.0327567567567568,42.663243243243244,41.31005966712028,42.323567567567565,0.1945945945945946
0.5,0.0499999999999996,0.5,400,1.0212972972972973,43.36064864864865,42.456441198264,43.219027027027025,0.15135135135135136
0.5,0.044999999999999596,0.5,400,1.013189189189189,43.982486486486486,43.40994451557832,43.93372972972973,0.15135135135135136
0.5,0.03999999999999959,0.5,400,1.0143783783783784,44.80962162162162,44.174464456996695,44.789945945945945,0.06486486486486487
0.5,0.03499999999999959,0.5,400,1.0111351351351352,45.59762162162162,45.095477386934675,45.58410810810811,0.05405405405405406
0.5,0.024999999999999578,0.5,400,1.012,46.90508108108108,46.34889434889435,46.89286486486486,0.0
0.5,0.029999999999999583,0.5,400,1.012108108108108,46.332972972972975,45.77867976928007,46.319783783783784,0.010810810810810811
0.5,0.019999999999999574,0.5,400,1.0128648648648648,47.783567567567566,47.17664638702103,47.76854054054054,0.0
0.5,0.01499999999999957,0.5,400,1.0127567567567568,48.49772972972973,47.8868488471392,48.48281081081081,0.0
0.5,0.009999999999999565,0.5,400,1.0113513513513515,48.99924324324324,48.449278460716194,48.98778378378378,0.0
0.5,0.00499999999999956,0.5,400,1.0115675675675675,49.51524324324324,48.94902212247515,49.50324324324324,0.0
0.495,0.5,0.5,400,0.012432432432432432,0.023783783783783784,1.9130434782608696,0.021945945945945945,98.94054054054054
0.495,0.495,0.5,400,0.05697297297297297,0.23059459459459458,4.047438330170778,0.22875675675675675,94.48648648648648
0.495,0.49,0.5,400,0.08529729729729729,0.4297297297297297,5.038022813688213,0.4277837837837838,91.66486486486487
0.495,0.485,0.5,400,0.0947027027027027,0.5424864864864865,5.728310502283105,0.5406486486486487,90.71351351351352
0.495,0.48,0.5,400,0.10767567567567568,0.6505945945945946,6.042168674698795,0.6487567567567567,89.41621621621621
0.495,0.475,0.5,400,0.12854054054054054,0.819027027027027,6.371740958788898,0.8170810810810811,87.34054054054054
0.495,0.47,0.5,400,0.14345945945945945,0.9858378378378378,6.87189148455162,0.984,85.83783783783784
0.495,0.46499999999999997,0.5,400,0.152,1.1212972972972972,7.376955903271693,1.1193513513513513,84.99459459459459
0.495,0.45999999999999996,0.5,400,0.1535135135135135,1.2142702702702703,7.909859154929578,1.2124324324324325,84.83243243243243
0.495,0.44999999999999996,0.5,400,0.17502702702702702,1.4241081081081082,8.136504014823965,1.4222702702702703,82.68108108108108
0.495,0.45499999999999996,0.5,400,0.15794594594594594,1.2887567567567568,8.159479808350445,1.286918918918919,84.3891891891892
0.495,0.44499999999999995,0.5,400,0.1934054054054054,1.6217297297297297,8.385131358300727,1.6197837837837838,80.85405405405406
0.495,0.43999999999999995,0.5,400,0.20832432432432432,1.8004324324324323,8.642449403217437,1.7981621621621622,79.3945945945946
